input_id,ok,status_code,api_latency_ms,client_elapsed_ms,mode,reference_baseline_cost_usd,an1_cost_usd,savings_usd,error
input_001,False,400,,808.93,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_002,False,400,,77.02,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_003,False,400,,114.21,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_004,False,400,,86.47,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_005,False,400,,96.11,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_006,False,400,,96.27,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_007,False,400,,83.33,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_008,False,400,,80.25,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_009,False,400,,94.67,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_010,False,400,,124.48,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_011,False,400,,79.48,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_012,False,400,,76.8,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_013,False,400,,70.04,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_014,False,400,,96.78,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_015,False,400,,137.11,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_016,False,400,,79.28,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_017,False,400,,103.69,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_018,False,400,,80.22,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_019,False,400,,75.27,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
input_020,False,400,,77.21,an1,,,,400 Client Error: Bad Request for url: https://www.animacore.ai/api/an1-turbo
